Namespace(dropout=0.0, batch_size=32, hidden_units=128, use_aux_loss=False, lr=0.0001, num_agents=18, num_steps=8, reduce='log', epochs=350, warmup=0, self_loops=True, node_readout=False, use_step_readout_lin=False, gumbel_temp=0.66666667, gumbel_min_temp=0.66666667, gumbel_warmup=-1, gumbel_decay_epochs=50, min_lr_mult=1e-07, weight_decay=0.01, num_pos_attention_heads=1, clip_grad=1.0, readout_mlp=True, post_ln=False, attn_dropout=0.0, no_time_cond=False, mlp_width_mult=2, activation_function='leaky_relu', negative_slope=0.01, input_mlp=True, attn_width_mult=1, importance_init=False, random_agent=False, test_argmax=False, global_agent_pool=True, agent_global_extra=False, basic_global_agent=False, basic_agent=False, bias_attention=True, visited_decay=0.9, sparse_conv=False, mean_pool_only=False, edge_negative_slope=0.01, final_readout_only=False, target='0', aux_loss=False, complete_graph=True)
---- Target: 0 ----
40 <class 'int'>
AgentNet
Epoch: 034, LR: 0.000099, Loss: 0.0221069, Validation MAE: 0.1519427, Test MAE: 0.1512916, Time: 1508.2063, Mem: 13.478, Cached: 26.162
Epoch: 035, LR: 0.000099, Loss: 0.0209817, Validation MAE: 0.1542839, Test MAE: 0.1512916, Time: 1458.7638, Mem: 13.066, Cached: 26.162
Epoch: 036, LR: 0.000099, Loss: 0.0208415, Validation MAE: 0.1730669, Test MAE: 0.1512916, Time: 1504.4599, Mem: 13.067, Cached: 26.162
Epoch: 037, LR: 0.000099, Loss: 0.0205585, Validation MAE: 0.1709956, Test MAE: 0.1512916, Time: 1458.9627, Mem: 13.066, Cached: 26.162
Epoch: 038, LR: 0.000099, Loss: 0.0197232, Validation MAE: 0.1417202, Test MAE: 0.1418491, Time: 1557.8219, Mem: 13.478, Cached: 26.162
Epoch: 039, LR: 0.000099, Loss: 0.0187227, Validation MAE: 0.1464394, Test MAE: 0.1418491, Time: 1417.1996, Mem: 13.066, Cached: 26.162
Epoch: 040, LR: 0.000098, Loss: 0.0186230, Validation MAE: 0.1617234, Test MAE: 0.1418491, Time: 1412.6126, Mem: 13.066, Cached: 26.162
Epoch: 041, LR: 0.000098, Loss: 0.0172274, Validation MAE: 0.1494995, Test MAE: 0.1418491, Time: 1412.4080, Mem: 13.066, Cached: 26.162
Epoch: 042, LR: 0.000098, Loss: 0.0174332, Validation MAE: 0.1458670, Test MAE: 0.1418491, Time: 1413.1426, Mem: 13.066, Cached: 26.162
Epoch: 043, LR: 0.000098, Loss: 0.0173590, Validation MAE: 0.1326216, Test MAE: 0.1304000, Time: 1512.9378, Mem: 13.479, Cached: 26.162
Epoch: 044, LR: 0.000098, Loss: 0.0164982, Validation MAE: 0.1416343, Test MAE: 0.1304000, Time: 1483.8870, Mem: 13.066, Cached: 26.162
Epoch: 045, LR: 0.000098, Loss: 0.0160951, Validation MAE: 0.1415175, Test MAE: 0.1304000, Time: 1449.1890, Mem: 13.067, Cached: 26.162
Epoch: 046, LR: 0.000098, Loss: 0.0162620, Validation MAE: 0.1255384, Test MAE: 0.1261651, Time: 1544.3857, Mem: 13.478, Cached: 26.162
